,INCIDENT_DATE,TEMP_MAX_F,TEMP_MIN_F,PRECIPITATION_INCHES,VISIBILITY_MILES,MAX_WIND_SPEED_MPH,WEEKDAY,SEASON,HOLIDAY,TOTAL_CALL
1,2013-01-02,34,24,0.0,10,18,2,1,False,864.0
26017,2013-01-04,38,34,0.0,10,20,4,1,False,920.0
29954,2013-01-05,43,34,0.0,10,18,5,1,False,734.0
3756,2013-01-06,46,35,0.0,10,16,6,1,False,779.0
33371,2013-01-07,45,38,0.0,10,16,0,1,False,912.0
37378,2013-01-08,49,37,0.0,10,17,1,1,False,914.0
7201,2013-01-09,50,37,0.0,10,23,2,1,False,879.0
11011,2013-01-10,48,40,0.0,10,20,3,1,False,943.0
15050,2013-01-11,45,37,0.0,10,10,4,1,False,986.0
41418,2013-01-12,45,42,0.0,7,13,5,1,False,866.0
45061,2013-01-13,50,42,0.0,10,9,6,1,False,847.0
48611,2013-01-14,55,40,0.0,10,18,0,1,False,903.0
52556,2013-01-15,39,36,0.0,10,10,1,1,False,882.0
56100,2013-01-16,38,33,0.0,10,10,2,1,False,882.0
59803,2013-01-17,43,37,0.0,10,17,3,1,False,870.0
19156,2013-01-18,35,26,0.0,10,16,4,1,False,854.0
63374,2013-01-19,52,30,0.0,10,20,5,1,False,789.0
66769,2013-01-20,54,33,0.0,10,28,6,1,False,738.0
70040,2013-01-21,32,28,0.0,10,18,0,1,True,692.0
73206,2013-01-22,28,16,0.0,10,24,1,1,False,804.0
22773,2013-01-23,19,12,0.0,10,20,2,1,False,719.0
76645,2013-01-24,24,15,0.0,10,29,3,1,False,868.0
80025,2013-01-25,25,15,0.0,10,17,4,1,False,857.0
87115,2013-01-26,29,18,0.0,10,22,5,1,False,769.0
104630,2013-01-28,36,30,0.0,10,13,0,1,False,829.0
108255,2013-01-29,45,37,0.0,9,16,1,1,False,884.0
83551,2013-01-30,54,37,0.0,10,21,2,1,False,872.0
111917,2013-01-31,59,31,0.0,10,40,3,1,False,846.0
115431,2013-02-01,32,25,0.0,10,22,4,1,False,896.0
119015,2013-02-02,29,20,0.0,10,16,5,1,False,864.0
122505,2013-02-03,31,24,0.0,10,14,6,1,False,739.0
90443,2013-02-04,31,25,0.0,10,22,0,1,False,841.0
125721,2013-02-05,31,28,0.0,10,14,1,1,False,883.0
129304,2013-02-06,39,30,0.0,10,20,2,1,False,821.0
132819,2013-02-07,32,27,0.0,10,12,3,1,False,879.0
136372,2013-02-08,36,28,0.0,10,29,4,1,False,759.0
139698,2013-02-09,34,25,0.0,10,28,5,1,False,770.0
94153,2013-02-10,36,20,0.0,10,15,6,1,False,717.0
97430,2013-02-11,45,34,0.0,10,10,0,1,False,950.0
143013,2013-02-12,44,39,0.0,10,23,1,1,False,805.0
146574,2013-02-13,43,34,0.0,10,12,2,1,False,853.0
150108,2013-02-14,46,34,0.0,10,15,3,1,False,880.0
153715,2013-02-15,52,38,0.0,10,14,4,1,False,940.0
101388,2013-02-16,39,32,0.0,10,17,5,1,False,745.0
157486,2013-02-17,31,19,0.0,10,35,6,1,False,741.0
160636,2013-02-18,36,19,0.0,10,29,0,1,True,658.0
163775,2013-02-19,47,33,0.0,10,17,1,1,False,796.0
167164,2013-02-20,39,27,0.0,10,28,2,1,False,816.0
170523,2013-02-21,34,26,0.0,10,26,3,1,False,795.0
173732,2013-02-22,39,27,0.0,10,12,4,1,False,820.0
200959,2013-02-23,39,35,0.0,10,17,5,1,False,757.0
204187,2013-02-24,45,35,0.0,10,23,6,1,False,743.0
207359,2013-02-25,43,33,0.0,10,14,0,1,False,783.0
210892,2013-02-26,44,34,0.0,10,18,1,1,False,792.0
214352,2013-02-27,48,37,0.0,10,28,2,1,False,828.0
217660,2013-02-28,49,41,0.0,10,16,3,1,False,915.0
221131,2013-03-01,44,37,0.0,10,17,4,2,False,881.0
224768,2013-03-02,39,32,0.0,10,16,5,2,False,913.0
228203,2013-03-03,40,30,0.0,10,20,6,2,False,786.0
231506,2013-03-04,40,28,0.0,10,25,0,2,False,780.0
235025,2013-03-05,47,33,0.0,10,17,1,2,False,861.0
177157,2013-03-06,43,38,0.0,10,36,2,2,False,850.0
180527,2013-03-07,38,34,0.0,10,23,3,2,False,836.0
183809,2013-03-08,42,32,0.0,10,22,4,2,False,829.0
238672,2013-03-09,54,37,0.0,10,21,5,2,False,851.0
187254,2013-03-10,46,35,0.0,10,10,6,2,False,745.0
242222,2013-03-11,52,39,0.0,10,18,0,2,False,920.0
245933,2013-03-12,55,45,0.0,10,29,1,2,False,824.0
249293,2013-03-13,51,41,0.0,10,20,2,2,False,935.0
252928,2013-03-14,41,30,0.0,10,30,3,2,False,792.0
190487,2013-03-15,47,31,0.0,10,22,4,2,False,945.0
194123,2013-03-16,42,33,0.0,10,15,5,2,False,973.0
256303,2013-03-17,38,30,0.0,10,17,6,2,False,766.0
259501,2013-03-18,35,29,0.0,10,18,0,2,False,864.0
197644,2013-03-19,44,34,0.0,10,24,1,2,False,751.0
263092,2013-03-20,45,34,0.0,10,21,2,2,False,803.0
266629,2013-03-21,38,33,0.0,10,20,3,2,False,828.0
294249,2013-03-22,41,30,0.0,10,20,4,2,False,867.0
270119,2013-03-23,45,35,0.0,10,23,5,2,False,782.0
297723,2013-03-24,46,34,0.0,10,14,6,2,False,741.0
300946,2013-03-25,40,37,0.0,10,23,0,2,False,788.0
304368,2013-03-26,49,39,0.0,10,13,1,2,False,769.0
307609,2013-03-27,52,38,0.0,10,24,2,2,False,764.0
310838,2013-03-28,49,39,0.0,10,21,3,2,False,808.0
314211,2013-03-29,54,42,0.0,10,20,4,2,False,824.0
317440,2013-03-30,57,42,0.0,10,14,5,2,False,845.0
320833,2013-03-31,54,40,0.0,10,22,6,2,False,708.0
273340,2013-04-01,61,40,0.0,10,29,0,2,False,852.0
276822,2013-04-02,44,34,0.0,10,24,1,2,False,786.0
279976,2013-04-03,46,35,0.0,10,24,2,2,False,863.0
324106,2013-04-04,49,35,0.0,10,18,3,2,False,813.0
327655,2013-04-05,61,42,0.0,10,25,4,2,False,975.0
283465,2013-04-07,54,41,0.0,10,29,6,2,False,805.0
331372,2013-04-08,71,47,0.0,10,13,0,2,False,933.0
286809,2013-04-09,80,47,0.0,10,24,1,2,False,929.0
335166,2013-04-10,69,53,0.0,10,33,2,2,False,959.0
338991,2013-04-11,59,48,0.0,10,18,3,2,False,911.0
290618,2013-04-12,47,42,0.0,10,25,4,2,False,934.0
342537,2013-04-13,56,42,0.0,10,12,5,2,False,860.0
345952,2013-04-14,55,49,0.0,10,18,6,2,False,765.0
349292,2013-04-15,56,45,0.0,10,15,0,2,False,895.0
353035,2013-04-16,60,47,0.0,10,24,1,2,False,943.0
356591,2013-04-17,68,55,0.0,10,13,2,2,False,938.0
360348,2013-04-18,61,50,0.0,10,18,3,2,False,891.0
391777,2013-04-19,70,54,0.0,10,28,4,2,False,965.0
363906,2013-04-20,64,50,0.0,10,21,5,2,False,843.0
367177,2013-04-21,52,39,0.0,10,20,6,2,False,731.0
370338,2013-04-22,55,42,0.0,10,21,0,2,False,883.0
395398,2013-04-23,52,42,0.0,10,21,1,2,False,830.0
398792,2013-04-25,67,48,0.0,10,22,3,2,False,874.0
402404,2013-04-26,65,51,0.0,10,16,4,2,False,927.0
406047,2013-04-27,67,49,0.0,10,13,5,2,False,842.0
373957,2013-04-28,67,51,0.0,10,20,6,2,False,745.0
409480,2013-04-29,59,54,0.0,10,13,0,2,False,842.0
413065,2013-04-30,65,51,0.0,10,15,1,2,False,863.0
416497,2013-05-01,66,49,0.0,10,15,2,2,False,856.0
420044,2013-05-02,67,50,0.0,10,13,3,2,False,922.0
423821,2013-05-03,63,51,0.0,10,17,4,2,False,966.0
377196,2013-05-04,66,50,0.0,10,15,5,2,False,884.0
380767,2013-05-05,60,46,0.0,10,16,6,2,False,884.0
427674,2013-05-06,67,47,0.0,10,13,0,2,False,958.0
384373,2013-05-07,71,53,0.0,10,14,1,2,False,923.0
431647,2013-05-08,65,55,0.0,10,20,2,2,False,965.0
435355,2013-05-09,68,55,0.0,10,13,3,2,False,924.0
439013,2013-05-10,80,61,0.0,10,18,4,2,False,1070.0
388135,2013-05-11,68,62,0.0,10,14,5,2,False,911.0
458555,2013-05-12,69,55,0.0,10,24,6,2,False,848.0
443290,2013-05-13,56,49,0.0,10,21,0,2,False,924.0
447059,2013-05-14,62,45,0.0,10,17,1,2,False,852.0
497325,2013-05-15,69,54,0.0,10,18,2,2,False,904.0
450625,2013-05-16,78,63,0.0,10,16,3,2,False,967.0
